CursorPosX,CursorPosY,HandPosX,HandPosy,dVelocity
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.69,601.88,720,602,0
720.34,600.94,720,601,4.0161
719.66,599.06,720,599,8.0321
719.91,596.84,721,597,8.9802
718.88,594.02,721,594,12.048
718.54,593.08,721,593,4.0161
717.76,588.04,722,588,20.478
717.33,583.94,723,584,16.559
715.87,577.02,724,577,28.398
716.04,571.64,726,572,21.627
716.29,569.42,727,570,8.9802
714.74,559.34,729,560,40.956
714.56,553.02,731,554,25.4
712.76,545.16,732,546,32.379
712.58,538.84,734,540,25.4
712.06,531.58,736,533,29.237
712.31,529.35,737,531,8.9802
712.04,519.87,740,522,38.1
712.12,511.33,743,514,34.313
712.28,505.94,745,509,21.627
711.76,498.68,747,502,29.237
712.01,496.46,748,500,8.9802
711.49,489.2,750,493,29.237
711.31,482.88,752,487,25.4
712.51,480.31,754,485,11.359
713.01,475.87,756,481,17.96
712.83,469.55,758,475,25.4
713.68,466.04,760,472,14.48
713.94,463.82,761,470,8.9802
714.19,461.6,762,468,8.9802
714.44,459.38,763,466,8.9802
715.04,458.1,764,465,5.6796
714.7,457.16,764,464,4.0161
714.27,453.06,765,460,16.559
714.27,453.06,765,460,0
714.86,451.78,766,459,5.6796
714.52,450.84,766,458,4.0161
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
714.52,450.84,766,458,0
