CursorPosX,CursorPosY,HandPosX,HandPosy,dVelocity
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,601,718,601,0
718,599,718,599,8.0321
718,597,718,597,8.0321
719,594,719,594,12.7
719,591,719,591,12.048
720,589,720,589,8.9802
720,587,720,587,8.0321
721,583,721,583,16.559
722,576,722,576,28.398
722,573,722,573,12.048
722,565,722,565,32.129
722,563,722,563,8.0321
722,559,722,559,16.064
722,547,722,547,48.193
721,541,721,541,24.429
721,531,721,531,40.161
720,525,720,525,24.429
720,523,720,523,8.0321
720,514,720,514,36.145
719,507,719,507,28.398
719,500,719,500,28.112
719,495,719,495,20.08
719,493,719,493,8.0321
718,485,718,485,32.379
718,481,718,481,16.064
718,476,718,476,20.08
717,472,717,472,16.559
717,469,717,469,12.048
717,467,717,467,8.0321
716,462,716,462,20.478
716,459,716,459,12.048
716,456,716,456,12.048
716,454,716,454,8.0321
716,454,716,454,0
716,452,716,452,8.0321
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
716,452,716,452,0
